Product ID,Product Name,Category,Quantity in Stock,Unit Price,Supplier,Order Date,Delivery Date,Region,Sales
P7478,Product E,Category 4,254,29.87,Supplier 2,2024-02-21 09:36:37.542107,2024-06-23 09:36:37.551921,South,4709.81
P6794,Product C,Category 4,63,20.69,Supplier 4,2024-11-18 09:36:37.542108,2024-10-27 09:36:37.551922,West,2718.29
P6390,Product D,Category 4,458,80.15,Supplier 2,2024-08-14 09:36:37.542110,2024-12-16 09:36:37.551924,South,1979.39
P4824,Product E,Category 4,367,34.76,Supplier 1,2024-11-11 09:36:37.542112,2024-06-22 09:36:37.551926,West,4420.18
P3702,Product A,Category 3,427,87.97,Supplier 1,2024-03-26 09:36:37.542113,2024-09-19 09:36:37.551927,West,2419.54
P1048,Product E,Category 1,109,70.57,Supplier 4,2024-11-16 09:36:37.542115,2024-09-03 09:36:37.551929,East,4341.58
P7221,Product D,Category 4,447,38.89,Supplier 4,2024-10-23 09:36:37.542117,2024-06-24 09:36:37.551930,East,4779.21
P8978,Product E,Category 2,494,58.24,Supplier 1,2024-09-01 09:36:37.542119,2024-03-09 09:36:37.551932,South,2986.24
P8270,Product A,Category 4,424,58.47,Supplier 3,2024-04-14 09:36:37.542122,2024-10-16 09:36:37.551934,North,1492.52
P8726,Product A,Category 4,488,11.87,Supplier 4,2024-09-09 09:36:37.542125,2024-04-02 09:36:37.551937,North,1104.78
P3527,Product E,Category 2,81,79.45,Supplier 3,2025-01-13 09:36:37.542128,2024-03-20 09:36:37.551938,North,4561.2
P9435,Product C,Category 4,138,87.13,Supplier 1,2024-11-21 09:36:37.542130,2024-11-06 09:36:37.551940,West,2915.47
P3514,Product A,Category 2,95,90.1,Supplier 2,2024-05-21 09:36:37.542133,2024-01-22 09:36:37.551942,South,4207.3
P9234,Product C,Category 2,48,36.21,Supplier 4,2024-12-26 09:36:37.542136,2024-11-08 09:36:37.551943,East,2121.32
P8739,Product A,Category 4,24,59.35,Supplier 1,2024-02-10 09:36:37.542139,2024-12-13 09:36:37.551945,East,1174.48
P3047,Product B,Category 1,399,88.71,Supplier 4,2024-09-26 09:36:37.542141,2024-11-30 09:36:37.551946,West,4864.98
P4997,Product E,Category 1,224,95.29,Supplier 1,2024-10-19 09:36:37.542143,2024-12-08 09:36:37.551948,South,3693.05
P6490,Product E,Category 2,111,87.26,Supplier 2,2024-08-31 09:36:37.542146,2024-03-23 09:36:37.551950,East,2336.31
P4337,Product A,Category 3,29,82.96,Supplier 1,2024-02-14 09:36:37.542149,2024-10-06 09:36:37.551951,East,4874.54
P2454,Product C,Category 4,33,86.56,Supplier 4,2024-10-25 09:36:37.542151,2024-06-20 09:36:37.551953,West,4905.65
P9237,Product D,Category 2,283,54.56,Supplier 2,2025-01-14 09:36:37.542154,2024-09-08 09:36:37.551954,West,2483.32
P4028,Product B,Category 3,435,11.35,Supplier 3,2024-03-07 09:36:37.542157,2024-10-09 09:36:37.551956,West,2188.88
P5597,Product D,Category 4,14,19.8,Supplier 1,2024-02-11 09:36:37.542159,2024-12-17 09:36:37.551957,East,3642.36
P2395,Product D,Category 3,451,77.05,Supplier 1,2024-02-01 09:36:37.542162,2024-12-25 09:36:37.551959,East,1472.49
P9842,Product B,Category 4,15,90.59,Supplier 1,2024-09-05 09:36:37.542165,2024-04-26 09:36:37.551961,South,4083.79
P9853,Product C,Category 1,234,17.92,Supplier 1,2024-08-01 09:36:37.542168,2024-09-06 09:36:37.551962,North,1999.73
P5629,Product D,Category 2,478,26.99,Supplier 3,2024-10-02 09:36:37.542171,2024-08-05 09:36:37.551964,West,1405.13
P1847,Product C,Category 1,167,88.05,Supplier 1,2024-05-21 09:36:37.542173,2024-05-24 09:36:37.551965,South,1952.93
P3899,Product C,Category 2,351,97.4,Supplier 1,2024-03-19 09:36:37.542176,2024-02-12 09:36:37.551967,North,1456.59
P3216,Product E,Category 2,197,42.96,Supplier 3,2024-12-18 09:36:37.542179,2024-10-04 09:36:37.551969,West,1023.83
P9906,Product C,Category 4,159,86.4,Supplier 4,2024-01-25 09:36:37.542182,2024-03-24 09:36:37.551971,North,1356.71
P4233,Product C,Category 2,180,85.58,Supplier 3,2024-03-14 09:36:37.542185,2024-02-05 09:36:37.551973,East,3359.56
P2598,Product A,Category 3,74,68.0,Supplier 3,2024-07-19 09:36:37.542187,2024-06-04 09:36:37.551974,West,1120.86
P7726,Product A,Category 3,492,73.42,Supplier 2,2024-10-22 09:36:37.542190,2025-01-09 09:36:37.551976,South,2979.18
P3058,Product A,Category 4,435,88.83,Supplier 3,2025-01-05 09:36:37.542193,2024-03-04 09:36:37.551977,West,2288.09
P5250,Product E,Category 4,280,12.53,Supplier 4,2024-05-18 09:36:37.542196,2024-12-04 09:36:37.551979,North,2767.91
P5011,Product A,Category 2,347,23.3,Supplier 4,2025-01-11 09:36:37.542199,2025-01-03 09:36:37.551980,South,2133.11
P5085,Product A,Category 1,230,73.17,Supplier 3,2024-09-02 09:36:37.542201,2024-04-01 09:36:37.551982,North,4768.45
P9092,Product C,Category 4,189,43.83,Supplier 3,2024-09-30 09:36:37.542204,2024-01-18 09:36:37.551984,West,3442.28
P7916,Product B,Category 4,214,93.03,Supplier 4,2024-02-13 09:36:37.542207,2024-03-05 09:36:37.551985,East,2773.32
P2873,Product B,Category 3,186,37.47,Supplier 1,2024-12-20 09:36:37.542210,2024-09-23 09:36:37.551987,West,3773.9
P3856,Product A,Category 3,341,27.13,Supplier 1,2024-11-19 09:36:37.542213,2024-02-17 09:36:37.551989,South,2012.83
P7451,Product A,Category 1,271,34.29,Supplier 1,2024-07-13 09:36:37.542216,2024-02-16 09:36:37.551990,West,3955.06
P7133,Product E,Category 1,202,16.16,Supplier 3,2024-03-15 09:36:37.542218,2024-07-02 09:36:37.551992,East,2946.4
P2407,Product C,Category 4,290,48.65,Supplier 2,2024-06-02 09:36:37.542221,2024-03-21 09:36:37.551994,South,1598.59
P9005,Product B,Category 2,351,63.76,Supplier 3,2024-10-22 09:36:37.542224,2024-02-05 09:36:37.551995,South,3751.31
P4584,Product E,Category 1,85,63.59,Supplier 1,2025-01-11 09:36:37.542227,2024-12-02 09:36:37.551997,North,2238.96
P7196,Product E,Category 4,320,33.03,Supplier 4,2024-07-13 09:36:37.542230,2024-05-29 09:36:37.551999,North,2054.6
P3908,Product E,Category 1,28,30.73,Supplier 2,2024-08-30 09:36:37.542233,2024-12-10 09:36:37.552000,South,2889.8
P8155,Product A,Category 3,57,30.88,Supplier 3,2025-01-07 09:36:37.542236,2024-07-23 09:36:37.552002,West,4016.38
P7614,Product B,Category 2,325,52.7,Supplier 2,2025-01-01 09:36:37.542239,2024-02-26 09:36:37.552003,South,1054.54
P1923,Product C,Category 2,110,15.32,Supplier 1,2024-05-09 09:36:37.542242,2024-06-25 09:36:37.552005,West,4137.59
P6265,Product D,Category 1,10,63.18,Supplier 4,2024-07-24 09:36:37.542245,2024-11-14 09:36:37.552007,East,4469.81
P9356,Product D,Category 1,196,26.62,Supplier 4,2024-07-25 09:36:37.542248,2024-09-10 09:36:37.552009,East,3234.14
P4164,Product A,Category 3,96,37.77,Supplier 2,2024-02-05 09:36:37.542252,2024-09-14 09:36:37.552011,East,2047.3
P5547,Product B,Category 3,158,85.71,Supplier 2,2025-01-07 09:36:37.542255,2024-08-25 09:36:37.552012,North,2524.95
P5739,Product A,Category 4,210,88.86,Supplier 3,2024-05-19 09:36:37.542258,2024-10-16 09:36:37.552014,West,3302.92
P2950,Product A,Category 2,250,87.82,Supplier 1,2024-03-19 09:36:37.542260,2024-10-31 09:36:37.552015,South,1954.35
P9080,Product D,Category 4,142,38.59,Supplier 2,2024-03-04 09:36:37.542263,2024-03-30 09:36:37.552017,North,1588.24
P3456,Product D,Category 4,247,82.13,Supplier 4,2024-06-24 09:36:37.542266,2024-08-07 09:36:37.552019,South,1560.45
P7780,Product B,Category 3,141,57.24,Supplier 3,2024-07-12 09:36:37.542269,2025-01-06 09:36:37.552020,South,2444.39
P8042,Product A,Category 4,469,88.43,Supplier 1,2024-02-15 09:36:37.542272,2024-11-12 09:36:37.552022,South,1933.32
P8744,Product A,Category 3,26,43.55,Supplier 1,2024-12-18 09:36:37.542275,2024-12-03 09:36:37.552023,West,1545.95
P5016,Product D,Category 2,154,86.4,Supplier 4,2024-10-19 09:36:37.542278,2024-06-06 09:36:37.552025,South,4776.84
P9998,Product A,Category 4,350,20.1,Supplier 2,2024-02-07 09:36:37.542280,2024-07-08 09:36:37.552026,West,2553.48
P6091,Product C,Category 1,492,33.2,Supplier 2,2024-12-22 09:36:37.542283,2024-05-31 09:36:37.552028,North,3114.57
P5028,Product A,Category 4,277,30.06,Supplier 4,2024-04-12 09:36:37.542286,2024-05-10 09:36:37.552030,West,4925.56
P9621,Product E,Category 3,90,56.41,Supplier 1,2024-09-21 09:36:37.542289,2024-09-27 09:36:37.552031,East,3576.91
P3236,Product C,Category 1,494,70.75,Supplier 1,2025-01-13 09:36:37.542292,2024-09-03 09:36:37.552033,South,3294.48
P8152,Product B,Category 1,97,74.07,Supplier 2,2024-07-14 09:36:37.542295,2024-08-17 09:36:37.552034,East,1944.47
P2193,Product A,Category 1,417,98.13,Supplier 1,2024-11-07 09:36:37.542298,2024-10-08 09:36:37.552036,North,3715.23
P6416,Product C,Category 1,479,59.14,Supplier 3,2024-11-14 09:36:37.542300,2024-09-29 09:36:37.552037,South,1997.31
P4658,Product E,Category 2,55,99.25,Supplier 1,2024-10-25 09:36:37.542303,2024-04-17 09:36:37.552039,East,2245.7
P8523,Product D,Category 1,28,46.83,Supplier 4,2024-10-11 09:36:37.542306,2024-04-05 09:36:37.552041,West,2985.21
P5000,Product B,Category 1,384,21.26,Supplier 2,2024-08-05 09:36:37.542308,2024-12-23 09:36:37.552042,East,4374.78
P4419,Product E,Category 3,265,91.37,Supplier 3,2024-05-27 09:36:37.542311,2024-01-28 09:36:37.552044,North,3566.09
P2754,Product D,Category 2,182,13.13,Supplier 4,2024-09-12 09:36:37.542314,2024-02-16 09:36:37.552046,North,4045.9
P7987,Product D,Category 2,276,26.38,Supplier 2,2024-11-29 09:36:37.542316,2024-12-06 09:36:37.552047,North,3890.09
P3684,Product C,Category 2,405,80.87,Supplier 4,2024-10-29 09:36:37.542319,2024-01-24 09:36:37.552049,East,4845.27
P2778,Product E,Category 3,439,32.7,Supplier 4,2024-08-14 09:36:37.542322,2024-03-07 09:36:37.552051,North,4627.33
P5614,Product E,Category 1,325,72.27,Supplier 4,2024-03-23 09:36:37.542325,2024-01-26 09:36:37.552052,South,2553.63
P7340,Product B,Category 2,391,19.61,Supplier 2,2024-01-21 09:36:37.542329,2024-09-24 09:36:37.552055,North,1757.22
P8523,Product B,Category 1,208,47.97,Supplier 1,2024-04-25 09:36:37.542332,2024-11-25 09:36:37.552056,East,4055.22
P2062,Product B,Category 1,296,39.91,Supplier 4,2025-01-10 09:36:37.542334,2024-03-22 09:36:37.552058,South,4904.88
P7971,Product E,Category 1,338,92.17,Supplier 4,2024-02-28 09:36:37.542337,2024-02-20 09:36:37.552061,West,2964.1
P2059,Product D,Category 4,125,39.34,Supplier 3,2024-10-05 09:36:37.542341,2024-10-18 09:36:37.552064,South,2776.2
P9496,Product C,Category 4,118,87.3,Supplier 1,2024-01-28 09:36:37.542344,2024-03-17 09:36:37.552067,South,2987.14
P4344,Product E,Category 4,72,84.38,Supplier 2,2024-02-19 09:36:37.542347,2024-10-20 09:36:37.552069,North,1252.55
P9396,Product B,Category 3,494,36.58,Supplier 2,2024-10-14 09:36:37.542350,2024-10-30 09:36:37.552072,West,4502.83
P9757,Product A,Category 3,13,13.79,Supplier 4,2024-11-18 09:36:37.542352,2024-10-23 09:36:37.552075,North,4699.34
P8717,Product E,Category 2,456,30.71,Supplier 3,2024-11-30 09:36:37.542356,2024-03-14 09:36:37.552077,West,1217.1
P2107,Product A,Category 1,142,32.08,Supplier 1,2024-09-22 09:36:37.542359,2024-09-20 09:36:37.552080,West,4003.33
P9062,Product A,Category 2,57,14.56,Supplier 3,2024-01-31 09:36:37.542362,2024-05-17 09:36:37.552083,West,3994.82
